center,surround,type,surr_type,orient_opacity,noise_opacity,isi
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
-2,0.0,c-2,noss,0,100,1.25
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.5
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,0.75
0,0.0,c+0,noss,0,100,1.0
0,0.0,c+0,noss,0,100,1.0
0,0.0,c+0,noss,0,100,1.0
0,0.0,c+0,noss,0,100,1.0
